GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:xldeploy-deployment-collector,com.capitalone.dashboard,Application,8,0,0,0,3,0,2,0,2,0
com.capitalone.dashboard:xldeploy-deployment-collector,com.capitalone.dashboard.collector,DefaultXLDeployClient.NodeListWrapper,0,15,0,0,0,5,0,3,0,3
com.capitalone.dashboard:xldeploy-deployment-collector,com.capitalone.dashboard.collector,RestOperationsSupplier,18,0,0,0,5,0,2,0,2,0
com.capitalone.dashboard:xldeploy-deployment-collector,com.capitalone.dashboard.collector,XLDeployCollectorTask,1035,0,100,0,222,0,70,0,20,0
com.capitalone.dashboard:xldeploy-deployment-collector,com.capitalone.dashboard.collector,XLDeploySettings,28,10,0,0,12,4,8,3,8,3
com.capitalone.dashboard:xldeploy-deployment-collector,com.capitalone.dashboard.collector,XLDeployCollectorTask.new Comparator() {...},14,0,0,0,2,0,2,0,2,0
com.capitalone.dashboard:xldeploy-deployment-collector,com.capitalone.dashboard.collector,DefaultXLDeployClient,231,680,38,50,36,137,32,28,0,16
com.capitalone.dashboard:xldeploy-deployment-collector,com.capitalone.dashboard.model,XLDeployApplicationHistoryItem,0,66,0,0,0,28,0,19,0,19
com.capitalone.dashboard:xldeploy-deployment-collector,com.capitalone.dashboard.model,XLDeployCollector,50,0,2,0,14,0,5,0,4,0
com.capitalone.dashboard:xldeploy-deployment-collector,com.capitalone.dashboard.model,Environment,93,18,14,0,25,7,14,3,7,3
com.capitalone.dashboard:xldeploy-deployment-collector,com.capitalone.dashboard.model,ConfigurationItemId,23,0,0,0,10,0,5,0,5,0
com.capitalone.dashboard:xldeploy-deployment-collector,com.capitalone.dashboard.model,XLDeployApplication,53,49,10,0,8,12,8,8,3,8
