GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:gitlab-scm-collector,com.capitalone.dashboard.gitlab,GitlabCommitsResponseMapper,1,87,1,3,0,19,1,4,0,3
com.capitalone.dashboard:gitlab-scm-collector,com.capitalone.dashboard.gitlab,GitlabUrlUtility,5,219,0,12,2,53,0,14,0,8
com.capitalone.dashboard:gitlab-scm-collector,com.capitalone.dashboard.gitlab,DefaultGitlabGitClient,0,102,0,6,0,26,0,6,0,3
com.capitalone.dashboard:gitlab-scm-collector,com.capitalone.dashboard,Application,8,0,0,0,3,0,2,0,2,0
com.capitalone.dashboard:gitlab-scm-collector,com.capitalone.dashboard.collector,GitlabSettings.new X509TrustManager() {...},13,0,0,0,5,0,4,0,4,0
com.capitalone.dashboard:gitlab-scm-collector,com.capitalone.dashboard.collector,RestOperationsSupplier,18,0,0,0,5,0,2,0,2,0
com.capitalone.dashboard:gitlab-scm-collector,com.capitalone.dashboard.collector,GitlabSettings,89,4,2,0,34,1,19,1,18,1
com.capitalone.dashboard:gitlab-scm-collector,com.capitalone.dashboard.collector,GitlabGitCollectorTask,61,246,16,12,12,60,9,15,0,10
com.capitalone.dashboard:gitlab-scm-collector,com.capitalone.dashboard.model,GitlabGitRepo,42,97,0,6,12,26,6,11,6,8
com.capitalone.dashboard:gitlab-scm-collector,com.capitalone.dashboard.gitlab.model,GitlabCommit,53,34,0,0,23,14,15,10,15,10
